id_pair,curated_smiles_molecule_a,curated_smiles_molecule_b,image_a_file,image_b_file,frac_similar
0,Cc1cscc1-c1cccnc1,Cc1ccsc1-c1cccnc1,image_molecule_000a.png,image_molecule_000b.png,0.818181818181818
1,O=S(=O)(c1ccccc1)c1ccc(/C=C/c2ccc(F)cc2F)cc1,O=S(=O)(c1ccc(F)cc1)c1ccc(/C=C/c2ccc(F)cc2)nc1,image_molecule_001a.png,image_molecule_001b.png,0.5625
2,NCc1ccc(-c2ccccc2)o1,CNCc1ccc(-c2cccnc2)o1,image_molecule_002a.png,image_molecule_002b.png,0.380952380952381
3,CCCCCCCN(CC)CC#CCc1ccc(Cl)cc1,CCCCCCCN(CC)CC#Cc1ccc(C)cc1,image_molecule_003a.png,image_molecule_003b.png,0.75
4,CN(C)Cc1ccc(-c2cccnc2)s1,CNCc1ccc(-c2cccnc2)o1,image_molecule_004a.png,image_molecule_004b.png,0.652173913043478
5,C[C@@H]1CN2C(=O)c3c(cccc3C(F)(F)F)[C@@H]2CN1,COc1c(Cl)ccc2c1C(=O)N1CCNC[C@@H]21,image_molecule_005a.png,image_molecule_005b.png,0.411764705882353
6,CNCc1ccc(-c2cccnc2)o1,CNCc1ccc(-c2cccnc2)s1,image_molecule_006a.png,image_molecule_006b.png,0.8
7,COc1ccc(N2Cc3c(c4cc(Cl)c(Cl)cc4n3C)C2=O)cc1OCCN1CCCCC1,COc1ccc(N2CCN(c3ccc(Cl)c(Cl)c3)C2=O)cc1OCCN1CCCCC1,image_molecule_007a.png,image_molecule_007b.png,0.655172413793103
8,Cc1ccc(Oc2ccc(Nc3cncc(N)n3)cc2)cc1,CN(c1ccc(Cl)cc1)c1ccc(Nc2nccc(N)n2)cc1,image_molecule_008a.png,image_molecule_008b.png,0.727272727272727
9,Cc1nc2ncccc2cc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,Cc1nn(C)cc1-c1ccc2cc(CCN3CCC[C@H]3C)ccc2n1,image_molecule_009a.png,image_molecule_009b.png,0.857142857142857
10,C[C@H](N)CN1CCc2ccc(Cl)cc21,CN(C)CCc1c[nH]c2sccc12,image_molecule_010a.png,image_molecule_010b.png,0.095238095238095
11,CCc1cc2c(ccc3cnn(C[C@H](C)N)c32)o1,C[C@H](N)Cn1ccc2cc(Cl)c3ncccc3c21,image_molecule_011a.png,image_molecule_011b.png,0.5
12,O=C1c2c(ccc(Cl)c2Cl)[C@@H]2CNCCN12,c1cc2c3c(c1)[C@@H]1CNCC[C@@H]1N3CCCS2,image_molecule_012a.png,image_molecule_012b.png,0.157894736842105
13,COc1ccc(N2Cc3c(c4ccc(Cl)cc4n3C)C2=O)cc1OCCN1CCC(C)CC1,COc1ccc(N2CCN(c3ccc(C)c(C(F)(F)F)c3)C2=O)cc1OCCN1CCOCC1,image_molecule_013a.png,image_molecule_013b.png,0.454545454545455
14,COc1ccc(N2CC=C(c3cccc(F)c3)C2=O)cc1OCCN1CCCCC1,COc1ccc(C2CCN(c3ccc(Cl)c(Cl)c3)C2=O)cc1OCCN1CCCCC1,image_molecule_014a.png,image_molecule_014b.png,0.65
15,O=S(=O)(c1ccc(Cl)cc1)C1CCN(CCc2ccc(F)cc2F)CC1,O=S(=O)(c1ccccc1)c1ccc(/C=C/c2ccc(F)cc2F)nc1,image_molecule_015a.png,image_molecule_015b.png,0.411764705882353
16,CN1CCC(=C2c3ccccc3CC(=O)c3sccc32)CC1,CN(C)CCC=C1c2ccccc2COc2ccccc21,image_molecule_016a.png,image_molecule_016b.png,0.3
17,CCc1cnc2c(N3CC[C@@H](NC)C3)nc(N)nc2c1,Nc1nc(N2CCNCC2)c2ccc(C3CCCC3)cc2n1,image_molecule_017a.png,image_molecule_017b.png,0.448275862068966
18,Cc1cscc1-c1cccnc1,CSCc1ccc(-c2cccnc2)o1,image_molecule_018a.png,image_molecule_018b.png,0.266666666666667
19,COc1cccc2[nH]cc(C3CC3N)c12,CC(N)Cc1c[nH]c2ccc3c(c12)CCCO3,image_molecule_019a.png,image_molecule_019b.png,0.48
20,CC(=O)Nc1cccc(CCN2CCN(c3cccc4nc(C)ccc34)CC2)c1,Cc1ccc2c(N3CCN(CCCc4cccc5c4OCC(=O)N5)CC3)cccc2n1,image_molecule_020a.png,image_molecule_020b.png,0.785714285714286
21,CC(N)Cc1c2ccoc2c(Br)c2ccoc12,C[C@H](N)Cn1ccc2ccc3ccncc3c21,image_molecule_021a.png,image_molecule_021b.png,0.368421052631579
22,N#Cc1ccc(S(=O)(=O)C2CCN(CCc3ccc(F)cc3F)CC2)cc1,O=S(=O)(c1ccc(F)cc1)c1ccc(CCc2ccc(F)cc2)cn1,image_molecule_022a.png,image_molecule_022b.png,0.55
23,Cc1ccc2c(N3CCN(CCc4c(C)ccc5c4ccc(=O)n5C)CC3)cccc2n1,Cc1ccc2c(N3CCN(CCc4cccc5c4OCc4c(C(=O)N(C)C)ncn4-5)CC3)cccc2n1,image_molecule_023a.png,image_molecule_023b.png,0.461538461538462
24,CC(=O)SCc1ccc(-c2cccnc2)o1,CN(C)Cc1ccc(-c2cccnc2)s1,image_molecule_024a.png,image_molecule_024b.png,0.375
25,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccc(C(F)(F)F)cc3)c3ccccc3)CC2)cc1,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C(F)(F)F)cc3)CC2)cc1,image_molecule_025a.png,image_molecule_025b.png,0.75
26,COc1ccc(OCC(O)CN2CCN(C(CNC(=O)c3ccccc3)c3ccccc3)CC2)cc1,COc1ccc(OCC(O)CN2CCN(C(C(=O)NCc3ccccc3)c3ccc(C)cc3)CC2)cc1,image_molecule_026a.png,image_molecule_026b.png,0.655172413793103
